location,ultima_fecha_datos,fecha_incidencia,incidencia_7d,fecha_factor,factor_crec_7d,casos_7d,casos_7d_prev
Ecuador,2025-08-10,2025-08-10,0.0,2025-08-10,,0.0,0.0
Peru,2025-08-10,2025-08-10,0.003,2025-08-10,0.8,8.0,10.0
